city,lat,lon,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,hour,day,month,day_of_week,aqi_lag_1,aqi_lag_3,aqi_lag_24,aqi_rolling_mean_6,aqi_change_rate,temperature,humidity,pressure,wind_speed,wind_deg,cloudiness,rain_1h
Karachi,24.8607,67.0011,2024-08-29 22:00:00+00:00,69.0,323.77,0.0,4.8,41.48,3.31,20.68,35.92,1.19,22,29,8,3,,,,69.0,,,,,,,,
Karachi,24.8607,67.0011,2024-08-29 23:00:00+00:00,68.2,313.76,0.0,3.86,45.06,3.37,20.26,33.94,1.14,23,29,8,3,69.0,,,68.6,-0.011594202898550683,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 00:00:00+00:00,63.8,317.1,0.0,3.73,47.21,3.49,18.18,27.14,1.2,0,30,8,4,68.2,,,67.0,-0.06451612903225815,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 01:00:00+00:00,57.5,413.89,0.0,4.33,72.96,3.67,15.2,18.04,1.2,1,30,8,4,63.8,69.0,,64.625,-0.09874608150470215,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 02:00:00+00:00,53.8,547.41,0.0,8.05,82.97,4.83,13.42,14.63,1.71,2,30,8,4,57.5,68.2,,62.46,-0.06434782608695658,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 03:00:00+00:00,52.6,667.57,0.04,15.77,66.52,5.66,12.85,14.15,2.28,3,30,8,4,53.8,63.8,,60.81666666666666,-0.02230483271375457,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 04:00:00+00:00,51.1,667.57,0.45,21.08,41.84,5.96,12.13,13.58,2.5,4,30,8,4,52.6,57.5,,57.833333333333336,-0.028517110266159697,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 05:00:00+00:00,39.0,587.46,0.94,19.54,27.89,6.02,9.35,10.83,2.47,5,30,8,4,51.1,53.8,,52.96666666666667,-0.23679060665362037,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 06:00:00+00:00,33.3,540.73,0.91,16.45,28.25,6.2,8.0,9.45,2.34,6,30,8,4,39.0,52.6,,47.88333333333333,-0.14615384615384622,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 07:00:00+00:00,31.0,534.06,0.63,15.42,33.62,6.91,7.44,8.86,2.25,7,30,8,4,33.3,51.1,,43.46666666666667,-0.06906906906906898,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 08:00:00+00:00,27.5,500.68,0.8,15.94,29.33,8.11,6.6,8.09,2.18,8,30,8,4,31.0,39.0,,39.083333333333336,-0.11290322580645161,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 09:00:00+00:00,27.3,473.98,1.13,17.48,23.6,8.94,6.56,8.14,2.15,9,30,8,4,27.5,33.3,,34.86666666666667,-0.007272727272727247,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 10:00:00+00:00,33.5,487.33,0.98,18.68,23.96,9.18,8.03,9.72,2.22,10,30,8,4,27.3,31.0,,31.933333333333334,0.22710622710622708,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 11:00:00+00:00,36.6,494.0,0.86,18.85,25.75,10.25,8.78,10.5,2.12,11,30,8,4,33.5,27.5,,31.53333333333333,0.09253731343283586,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 12:00:00+00:00,37.2,514.03,0.43,20.39,28.61,12.16,8.94,10.73,1.99,12,30,8,4,36.6,27.3,,32.18333333333333,0.01639344262295086,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 13:00:00+00:00,42.5,627.52,0.1,24.33,39.7,13.71,10.2,12.51,2.12,13,30,8,4,37.2,33.5,,34.1,0.1424731182795698,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 14:00:00+00:00,43.5,667.57,0.01,24.33,50.78,13.95,10.45,13.19,2.18,14,30,8,4,42.5,36.6,,36.76666666666667,0.023529411764705882,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 15:00:00+00:00,46.1,547.41,0.0,19.02,50.78,12.4,11.06,14.24,2.22,15,30,8,4,43.5,37.2,,39.9,0.05977011494252877,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 16:00:00+00:00,45.3,467.3,0.0,13.54,51.5,9.66,10.88,14.22,1.82,16,30,8,4,46.1,42.5,,41.86666666666667,-0.01735357917570508,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 17:00:00+00:00,40.2,400.54,0.0,8.48,59.37,6.08,9.66,12.69,1.17,17,30,8,4,45.3,43.5,,42.46666666666667,-0.11258278145695352,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 18:00:00+00:00,40.1,333.79,0.0,4.71,60.08,3.31,9.62,12.62,0.74,18,30,8,4,40.2,46.1,,42.949999999999996,-0.0024875621890547614,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 19:00:00+00:00,53.0,283.72,0.0,3.21,41.48,1.94,13.03,16.05,0.42,19,30,8,4,40.1,45.3,,44.699999999999996,0.3216957605985037,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 20:00:00+00:00,64.2,260.35,0.0,2.44,34.33,1.7,18.39,22.86,0.23,20,30,8,4,53.0,40.2,,48.15,0.2113207547169812,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 21:00:00+00:00,70.6,253.68,0.0,1.35,38.62,1.36,21.44,30.46,0.15,21,30,8,4,64.2,40.1,,52.23333333333333,0.09968847352024908,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 22:00:00+00:00,70.5,257.02,0.0,1.07,42.56,1.25,21.37,31.77,0.13,22,30,8,4,70.6,53.0,69.0,56.43333333333334,-0.0014164305949007695,,,,,,,
Karachi,24.8607,67.0011,2024-08-30 23:00:00+00:00,67.7,263.69,0.0,0.94,49.35,1.1,20.04,27.61,0.13,23,30,8,4,70.5,64.2,68.2,61.01666666666667,-0.03971631205673755,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 00:00:00+00:00,67.3,260.35,0.0,0.87,57.22,0.97,19.84,24.82,0.13,0,31,8,5,67.7,70.6,63.8,65.55,-0.005908419497784426,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 01:00:00+00:00,64.4,250.34,0.0,1.06,57.94,1.1,18.48,22.22,0.18,1,31,8,5,67.3,70.5,57.5,67.45,-0.04309063893016332,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 02:00:00+00:00,56.4,240.33,0.0,1.69,48.64,1.55,14.65,18.02,0.27,2,31,8,5,64.4,67.7,53.8,66.14999999999999,-0.12422360248447215,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 03:00:00+00:00,44.8,260.35,0.03,3.9,37.55,2.44,10.76,13.8,0.53,3,31,8,5,56.4,67.3,52.6,61.849999999999994,-0.20567375886524825,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 04:00:00+00:00,37.8,300.41,0.23,7.2,29.33,3.78,9.07,11.75,0.77,4,31,8,5,44.8,64.4,51.1,56.400000000000006,-0.15625,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 05:00:00+00:00,38.5,313.76,0.43,7.71,27.54,4.29,9.23,12.28,0.89,5,31,8,5,37.8,56.4,39.0,51.53333333333333,0.018518518518518594,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 06:00:00+00:00,41.8,303.75,0.42,6.85,28.61,4.41,10.02,13.34,0.94,6,31,8,5,38.5,44.8,33.3,47.28333333333333,0.08571428571428565,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 07:00:00+00:00,46.2,293.73,0.73,5.91,29.33,4.41,11.08,14.39,0.89,7,31,8,5,41.8,37.8,31.0,44.25,0.10526315789473699,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 08:00:00+00:00,46.9,293.73,1.1,5.65,29.33,4.53,11.26,14.21,0.89,8,31,8,5,46.2,38.5,27.5,42.666666666666664,0.015151515151515058,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 09:00:00+00:00,46.8,303.75,1.44,5.83,28.61,4.47,11.22,13.86,0.89,9,31,8,5,46.9,41.8,27.3,43.0,-0.0021321961620469386,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 10:00:00+00:00,47.7,327.11,2.18,6.34,28.25,4.53,11.44,14.2,1.01,10,31,8,5,46.8,46.2,33.5,44.65,0.019230769230769353,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 11:00:00+00:00,51.2,350.48,2.35,7.8,25.75,4.77,12.21,15.41,1.12,11,31,8,5,47.7,46.9,36.6,46.76666666666667,0.07337526205450734,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 12:00:00+00:00,52.7,377.18,2.12,10.11,21.99,4.59,12.89,16.56,1.19,12,31,8,5,51.2,46.8,37.2,48.583333333333336,0.029296875,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 13:00:00+00:00,54.5,440.6,1.96,14.74,16.27,5.01,13.75,18.46,1.46,13,31,8,5,52.7,47.7,42.5,49.96666666666667,0.0341555977229601,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 14:00:00+00:00,56.5,473.98,0.99,18.34,11.62,5.6,14.72,20.59,1.68,14,31,8,5,54.5,51.2,43.5,51.56666666666667,0.03669724770642202,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 15:00:00+00:00,59.3,447.27,0.47,16.79,12.34,6.02,16.07,23.28,1.88,15,31,8,5,56.5,52.7,46.1,53.65,0.049557522123893756,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 16:00:00+00:00,62.8,460.62,0.49,16.79,11.44,6.74,17.7,26.32,2.34,16,31,8,5,59.3,54.5,45.3,56.166666666666664,0.05902192242833053,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 17:00:00+00:00,64.5,447.27,0.42,15.77,11.62,6.97,18.54,28.22,2.6,17,31,8,5,62.8,56.5,40.2,58.383333333333326,0.027070063694267562,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 18:00:00+00:00,65.2,440.6,0.32,14.74,13.05,6.91,18.83,28.93,2.66,18,31,8,5,64.5,59.3,40.1,60.46666666666666,0.010852713178294617,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 19:00:00+00:00,63.8,410.56,0.22,13.37,15.02,6.5,18.21,28.35,2.28,19,31,8,5,65.2,62.8,53.0,62.01666666666666,-0.021472392638036897,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 20:00:00+00:00,61.2,350.48,0.09,10.54,18.6,6.26,16.97,25.83,1.57,20,31,8,5,63.8,64.5,64.2,62.79999999999999,-0.0407523510971786,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 21:00:00+00:00,59.7,300.41,0.02,7.37,22.35,6.38,16.25,23.92,1.31,21,31,8,5,61.2,65.2,70.6,62.866666666666674,-0.024509803921568627,,,,,,,
